               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.025204,            0.005142,           0.0040798,             0.93882,             0.72861,             0.84967,             0.61856,            0.021799,           0.0043668,           0.0048051,           0.0024024,           0.0024024,           0.0024024
                  91,             0.02547,           0.0048394,           0.0036094,             0.93159,             0.75479,             0.85651,             0.61819,            0.023667,           0.0042644,           0.0044851,            0.002318,            0.002318,            0.002318
                  92,            0.024235,           0.0051943,           0.0039758,             0.86863,             0.80742,             0.86056,             0.63162,            0.020808,           0.0042198,           0.0046857,           0.0022358,           0.0022358,           0.0022358
                  93,            0.025083,           0.0054246,           0.0036191,             0.90069,             0.79022,             0.85605,             0.62622,            0.019792,           0.0041451,           0.0048046,           0.0021558,           0.0021558,           0.0021558
                  94,            0.024193,            0.004867,           0.0032528,             0.92947,             0.76111,             0.85757,             0.63712,            0.021207,           0.0041622,           0.0048854,           0.0020782,           0.0020782,           0.0020782
                  95,            0.024612,           0.0048488,           0.0038763,             0.93994,             0.75611,              0.8522,              0.6268,              0.0208,           0.0042292,           0.0045941,           0.0020028,           0.0020028,           0.0020028
                  96,            0.023549,           0.0049385,           0.0036855,             0.93657,             0.76104,             0.86418,             0.62817,            0.020834,           0.0041588,            0.004623,           0.0019299,           0.0019299,           0.0019299
                  97,            0.022449,           0.0048849,            0.003647,             0.94066,             0.76779,             0.85649,             0.62213,            0.021208,           0.0041871,           0.0046308,           0.0018594,           0.0018594,           0.0018594
                  98,            0.023934,           0.0048324,           0.0035448,             0.95935,             0.74282,             0.85264,             0.62379,            0.021635,           0.0043117,           0.0047802,           0.0017914,           0.0017914,           0.0017914
                  99,            0.022653,           0.0046989,           0.0034885,             0.93638,             0.75349,             0.85783,             0.62929,            0.020814,           0.0041132,           0.0044862,            0.001726,            0.001726,            0.001726
                 100,            0.022759,           0.0048479,           0.0032476,             0.94558,             0.73684,             0.86233,             0.62244,             0.02109,           0.0042535,           0.0045194,           0.0016631,           0.0016631,           0.0016631
                 101,            0.025102,           0.0047839,           0.0038641,             0.91487,             0.77105,             0.86005,             0.62142,            0.020735,            0.004202,           0.0046148,           0.0016029,           0.0016029,           0.0016029
                 102,            0.023519,           0.0051251,           0.0034561,             0.92521,             0.77522,             0.85613,             0.63474,            0.019814,           0.0041547,           0.0044428,           0.0015453,           0.0015453,           0.0015453
                 103,            0.022513,           0.0044517,           0.0030242,             0.94552,             0.74397,             0.85994,             0.62881,            0.019515,           0.0042195,           0.0044355,           0.0014905,           0.0014905,           0.0014905
                 104,            0.022142,            0.004882,           0.0032904,             0.95239,              0.7494,             0.86297,             0.63926,            0.020642,           0.0041219,           0.0043035,           0.0014384,           0.0014384,           0.0014384
                 105,            0.022799,            0.004902,           0.0034156,             0.93459,              0.7603,             0.86011,             0.64042,            0.020123,           0.0041238,           0.0043747,            0.001389,            0.001389,            0.001389
                 106,            0.020702,           0.0047326,           0.0031037,             0.91165,             0.78169,             0.86279,             0.63203,            0.019942,           0.0041685,           0.0044583,           0.0013425,           0.0013425,           0.0013425
                 107,            0.022876,           0.0048607,           0.0030828,             0.91647,             0.78064,             0.85846,             0.63838,            0.019386,           0.0040514,           0.0044278,           0.0012989,           0.0012989,           0.0012989
                 108,            0.023769,           0.0045248,            0.003192,             0.94418,              0.7498,             0.86255,              0.6396,            0.019718,           0.0040901,           0.0044094,           0.0012581,           0.0012581,           0.0012581
                 109,            0.023257,           0.0045647,           0.0030797,             0.86055,             0.82206,              0.8633,             0.64381,            0.017945,           0.0041236,           0.0044332,           0.0012202,           0.0012202,           0.0012202
                 110,            0.021153,           0.0046961,           0.0029047,             0.85546,             0.80604,             0.85992,             0.64399,            0.019218,           0.0041569,           0.0045014,           0.0011853,           0.0011853,           0.0011853
                 111,            0.021576,           0.0045673,           0.0031816,             0.93864,             0.74205,             0.86148,             0.63219,            0.019725,           0.0041066,           0.0046227,           0.0011533,           0.0011533,           0.0011533
                 112,            0.019931,           0.0046858,            0.003009,             0.89774,              0.7977,             0.86482,             0.63521,            0.018618,           0.0041191,           0.0045214,           0.0011243,           0.0011243,           0.0011243
                 113,            0.020415,           0.0045583,             0.00295,             0.89646,             0.80921,             0.87113,             0.64775,            0.019358,           0.0040403,           0.0042646,           0.0010983,           0.0010983,           0.0010983
                 114,            0.022588,           0.0047095,           0.0034805,             0.92986,             0.77119,             0.87036,             0.64111,            0.018863,           0.0040333,            0.004268,           0.0010754,           0.0010754,           0.0010754
                 115,            0.021448,           0.0046123,           0.0034038,             0.94491,             0.74823,               0.863,             0.64587,            0.018646,           0.0039926,           0.0043646,           0.0010554,           0.0010554,           0.0010554
                 116,            0.020249,           0.0047421,           0.0027863,             0.94218,             0.75772,             0.87259,             0.64037,            0.018993,           0.0040132,           0.0044739,           0.0010385,           0.0010385,           0.0010385
                 117,            0.021986,           0.0046402,           0.0030266,             0.89633,             0.78574,             0.87059,             0.64524,             0.01972,           0.0039917,           0.0045789,           0.0010247,           0.0010247,           0.0010247
                 118,            0.021675,           0.0046481,           0.0032383,             0.94799,             0.74008,             0.86782,             0.63957,            0.018525,           0.0040405,           0.0047129,           0.0010139,           0.0010139,           0.0010139
                 119,            0.020983,            0.004702,           0.0027345,             0.91927,             0.76577,             0.86683,             0.64199,            0.019305,            0.004001,            0.004324,           0.0010062,           0.0010062,           0.0010062
